runoff_obs,basin_cfs_pred,year,month,day,precip,tmax,tmin
2.7,3.890482,2002,10,1,0.13,57.4,34.6
2.7,3.041588,2002,10,2,0.97,38.4,29.7
2.8,2.796749,2002,10,3,0.04,41.2,31.7
2.8,2.600715,2002,10,4,0,52.9,34
2.6,2.43956,2002,10,5,0,50.5,34.8
2.4,2.313932,2002,10,6,0,59.1,38.7
2.8,2.20687,2002,10,7,0,59.8,39.8
2.5,2.138643,2002,10,8,0,65,42.3
2.4,2.074149,2002,10,9,0,66.7,42.2
2.3,2.018152,2002,10,10,0,67.9,45.3
2.2,1.969334,2002,10,11,0,68.5,48
2.1,1.880715,2002,10,12,0,58.3,31.9
2.1,1.841334,2002,10,13,0,57.7,29
2.1,1.812958,2002,10,14,0,60.1,35.3
2.1,1.795018,2002,10,15,0,63.1,36.1
2,1.774201,2002,10,16,0,64.1,36.2
2,1.746542,2002,10,17,0,61.8,37.6
1.9,1.730267,2002,10,18,0,62.9,35.7
1.9,1.718727,2002,10,19,0,64.4,35.9
1.9,1.70904,2002,10,20,0,64.2,37.2
1.9,1.692878,2002,10,21,0,64.1,36.9
1.8,1.678333,2002,10,22,0,62.8,35.6
1.8,1.663181,2002,10,23,0,60.7,32
1.8,1.649467,2002,10,24,0,53,30.9
1.8,1.640825,2002,10,25,0,55.3,31.9
1.9,2.082153,2002,10,26,0.14,52.8,34.7
1.8,1.625104,2002,10,27,0,45.9,32.8
1.8,1.617123,2002,10,28,0,50.4,32.7
1.7,1.609214,2002,10,29,0,52.9,25.8
1.6,1.601368,2002,10,30,0,44.8,24
1.7,1.593589,2002,10,31,0,47.3,21.5
1.8,1.585876,2002,11,1,0,40.5,9.4
1.8,1.578224,2002,11,2,0,31,9.9
